Order #,Release Year,Rotten Tomatoes,Length (Minutes)
900,2011,68%,105
901,1989,92%,82
902,2006,91%,101
903,1989,31%,109
904,1996,91%,135
905,2003,,201
906,2017,,92
907,1986,76%,100
908,2015,97%,120
909,1994,5%,105
910,1941,99%,100
911,2016,96%,135
912,2008,,91
913,1964,97%,139
914,2012,85%,136
915,2003,85%,138
916,2005,75%,96
917,2023,91%,113
918,2004,84%,97
919,2000,85%,108
920,2004,38%,115
921,2002,38%,88
922,2017,92%,110
923,1969,89%,113
924,2018,81%,84
925,1996,52%,126
926,2006,73%,126
927,2020,,86
928,2011,94%,126
929,1987,90%,101
930,1986,78%,117
931,2007,,43
932,1993,90%,111
933,2001,84%,147
934,2020,,104
935,2002,76%,95
936,1991,,86
937,2004,72%,96
938,1985,37%,95
939,2004,47%,131
940,1984,83%,138
941,1976,91%,121
942,2011,66%,105
943,1983,71%,134
944,1998,,96
945,2016,91%,116
946,1984,94%,91
947,2001,32%,89
948,1998,53%,111
949,1983,41%,131
950,1999,82%,89
951,2006,97%,86
952,2003,60%,88
953,2022,86%,105
954,1987,58%,99
955,1987,,93
956,2025,,106
957,2014,,98
958,2002,,112
959,1998,,128
960,1992,,84
961,2023,,106
962,1998,,115
963,1993,,141
964,1996,,130
965,1993,,138
966,1953,,77
967,1996,,123
968,1993,,125
969,1998,,124
970,2001,,124
971,1984,,96
972,1983,,98
973,1990,,101
974,2023,,89
975,2012,,90
976,1988,,97
977,1977,,86
978,1996,,121
979,2018,,102
980,1993,,129
981,2011,,80
982,1991,,143
983,1979,,119
984,1997,,92
985,1998,,93
986,1993,,195
987,2021,,112
988,2006,,96
989,2022,,155
990,2001,,114
991,2010,,104
992,1996,,96
993,2007,,126
994,1986,,98
995,2013,,100
996,2010,,138
997,2004,,92
998,2018,,116
999,2020,,4
1000,1993,,112
1001,1999,,107
1002,2006,,83
1003,2014,,77
1004,1996,,147
1005,2023,,95
1006,2008,,95
1007,1937,,83
1008,2007,,19
1009,2001,,126
1010,1985,,110
1011,1997,,129
1012,1989,,118
1013,2014,,100
1014,2008,,109
1015,1951,,122
1016,2009,,102
1017,2002,,108
1018,1988,,115
1019,1991,,137
1020,1984,,107
1021,2000,,145
1022,2012,,134
1023,2024,,103
1024,1965,,130
1025,1994,,99
1026,1996,,135
1027,1997,,119
1028,2022,,135
1029,2004,,107
1030,2019,,125
1031,1996,,97
1032,1996,,113
1033,1989,,100
1034,2010,,94
1035,1993,,102
1036,1999,,106
1037,2022,,107
1038,1996,,84
1039,2013,,103
1040,2007,,117
1041,1989,,97
1042,1961,,153
1043,2023,,92
1044,1993,,118
1045,1988,,104
1046,2006,,92
1047,2000,,108
1048,1969,,135
1049,1988,,126
1050,2010,,100
1051,1994,,125
1052,2006,,94
1053,2019,,78
1054,2008,,117
1055,2008,,101
1056,2012,,109
1057,1994,,96
1058,2015,,93
1059,1986,,80
1060,1999,,162
1061,2015,,92
1062,2018,,117
1063,1983,,88
1064,2012,,93
1065,1968,,134
1066,2011,,124
1067,2015,,76
1068,1988,,86
1069,2018,,120
1070,2018,,130
1071,2016,,103
1072,2007,,99
1073,2008,,112
1074,2021,,138
1075,2016,98%,92
1076,2004,,111
1077,2008,,104
1078,2013,,107
1079,2013,,97
1080,2022,,129
1081,2001,,107
1082,2005,,104
1083,1992,,102
1084,2007,,160
1085,2012,,100
1086,1953,,122
1087,2015,,99
1088,2018,,88
1089,1997,,92
1090,2001,,111
1091,1987,,102
1092,2012,,122
1093,2003,,94
1094,2007,,101
1095,2009,,100
1096,2024,,115
1097,2012,,95
1098,2023,,144
1099,2016,,106
1100,2015,,89
1101,2024,,110
1102,1962,,227
1103,1998,,127
1104,1989,,83
1105,2011,,100
1106,2019,,115
1107,2014,,90
1108,2023,,90
1109,1997,,105
1110,1999,,107
1111,2008,,90
1112,2015,,123
1113,1995,,192
1114,2000,,107
1115,2004,,125
1116,1983,,91
1117,2015,,109
1118,2001,,115
1119,2015,,91
1120,2023,,87
1121,1998,,121
1122,2008,,120
1123,2003,,110
1124,1956,,119
1125,1994,,89
1126,2009,,128
1127,1992,,99
1128,1998,,98
1129,2011,,84
1130,1993,,114
1131,2015,,108
1132,1965,,175
1133,2015,,120
1134,2006,,113
1135,2007,,113
1136,2011,,111
1137,2024,,105
1137,1996,,88
1138,2002,,101
1139,1992,,111
1140,1996,,124
1141,2007,,108
1142,2007,,96
1143,2015,,87
1144,2008,,99
1145,2000,42%,98
1146,2012,,106
1147,1990,,104
1148,1986,,110
1149,1998,,119
1150,1968,,149
1151,2019,,109
1152,2022,,101
1153,2001,,129
1154,2002,,110
1155,1988,,99
1156,1997,,121
1157,1989,,140
1158,2014,,96
1159,1994,,86
1160,1995,,90
1161,2022,,106
1162,2023,,87
1163,2000,,116
1164,1983,,91
1165,2001,,104
1166,2004,,90
1167,2014,,142
1168,2001,,108
1169,1979,,147
1170,2023,,105
1171,1996,,115
1172,2015,,100
1173,1995,,133
1174,2012,,142
1175,2015,,141
1176,2024,,115
1177,1984,,105
1178,1990,,8
1179,2003,,147
1180,1995,,102
1181,2017,,116
1182,1997,,125
1183,2016,,6
1184,2001,,106
1185,1999,,113
1186,1991,,70
1187,2014,,76
1188,1994,,104
1189,2000,,99
1190,1986,,99
1191,1991,,93
1192,1996,,117
1193,2021,,134
1194,1998,,120
1195,2015,,1
1196,2017,,85
1197,1994,,121
1198,2012,,135
1199,2016,,122
1200,2000,,98
1201,2003,,105
1202,2005,,106
1203,2009,,92
1204,1996,,84
1205,1989,,102
1206,2019,,128
1207,2016,,98
1208,2011,,112
1209,1995,,178
1210,2000,,143
1211,2000,,84
1212,1988,,87
1213,1998,,114
1214,1994,,116
1215,1983,,98
1215,1994,,92
1216,2005,,136
1217,1988,,117
1218,1991,,118
1219,1997,,115
1220,1997,,135
1221,1967,,127
1222,1996,,115
1223,2000,,100
1224,1996,,101
1225,1994,,102
1226,1992,,112
1227,1992,,101
1228,1990,,181
1229,1995,,99
1230,2010,,88
1231,2006,,149
1232,2016,,98
1233,1990,,107
1234,1992,,104
1235,1999,,88
1236,1997,,111
1237,1971,,120
1238,1995,,128
1239,2022,,118
1240,1991,,104
1241,2017,,130
1242,2001,,113
1243,1999,,105
1244,2001,,11
1245,2014,,109
1246,2013,,90
1247,2011,,100
1248,1999,,91
1249,2001,,80
1250,2015,,100
1251,2023,,105
1252,1996,,100
1253,1995,,90
1254,2022,,97
1255,1995,,91
1256,1987,,92
1257,1996,,101
1258,2013,,115
1259,2015,,85
1260,2004,,89
1261,2018,,90
1262,2022,,132
1263,2010,,103
1264,2009,,99
1265,1996,,118
1266,1989,,110
1267,1996,,116
1268,2009,,107
1269,1982,,90
1270,1995,,106
1271,2011,,99
1272,1996,,97
1273,2016,,105
1274,1996,,103
1275,1986,,96
1276,1999,,137
1277,1988,,120
1278,1993,,112
1279,1996,,104
1280,2019,,104
1281,1997,,125
1282,1986,,94
1283,2000,,118
1284,1987,,121
1285,2015,,80
1286,1990,,106
1287,2022,,129
1288,1993,,103
1289,2005,,105
1290,1995,,105
1291,1981,,92
1292,2017,,103
1293,1986,,107
1294,2011,,75
1295,1998,,136
1296,2005,,97
1297,1989,,103
1298,2006,,136
1299,1992,,120
1300,1992,,89
1301,1991,,142
1302,1998,,114
1303,2011,,97
1304,2014,,108
1305,2015,,84
1306,1993,,88
1307,1991,,94
1308,1992,,102
1309,1994,,111
1310,2014,,125
1311,2016,,82
1312,2016,,115
1313,2022,,104
1314,2007,,140
1315,2013,,104
1316,1999,,126
1317,1990,,115
1318,2010,,124
1319,2005,,136
1320,1997,,124
1321,2016,,123
1322,1985,,106
1323,2007,,124
1324,1990,,102
1325,2017,,122
1326,2005,,106
1327,1991,,132
1328,1994,,109
1329,1993,,117
1330,1989,,112
1331,1989,,6
1332,1989,,97
1333,2011,,117
1334,2003,,111
1335,1995,,101
1336,1997,,115
1337,2010,,130
1338,1991,,95
1339,1993,,130
1340,2004,,105
1341,2000,,126
1342,2021,,133
1343,1990,,108
1344,1989,92%,82
1345,2019,,135
1346,1987,,130
1347,2016,,99
1348,2014,,122
1349,1990,,81
1350,2012,,119
1351,1993,,111
1352,2002,,105
1353,2001,,152
1354,2004,,129
1355,2015,,88
1356,2011,,109
1357,1990,,93
1358,1994,,101
1359,2003,,138
1360,1994,,127
1361,2006,,90
1362,2024,,112
1363,1990,,98
1364,1993,,97
1365,2022,,107
1366,2006,,132
1367,2009,,97
1368,1999,,102
1369,1992,,104
1370,2016,,98
1371,2000,,123
1372,1997,,107
1373,1991,,102
1374,1988,,104
1375,1994,,83
1376,1989,,97
1377,2017,,77
1378,1991,,108
1379,1998,,140
1380,2016,,92
